DayLight,Normal_Mode,Read_Mode
0,700,902
10,672,888
50,624,863
78,602,842
100,594,824
134,573,810
148,562,792
157,534,769
193,509,751
204,496,723
224,484,701
257,467,694
284,449,683
294,420,621
320,396,604
329,373,587
333,363,571
357,359,561
378,339,554
379,321,531
392,310,523
403,297,519
424,276,502
454,253,497
472,239,481
489,218,464
500,200,450
510,192,444
523,188,431
538,184,421
542,179,418
550,175,409
553,173,402
555,171,398
560,163,388
567,161,376
573,159,365
582,157,359
586,153,356
592,151,353
603,148,350
609,141,340
613,137,331
617,132,326
623,128,318
628,123,309
631,121,302
636,119,299
642,113,291
647,106,285
653,93,281
654,72,276
656,69,273
666,64,264
669,61,259
672,59,248
674,55,244
677,51,241
682,47,237
685,41,226
691,39,217
695,30,203
700,25,200
