Intensity,Normal Mode,Read Mode,Sleep Mode
20,85,123.8,3
21.5,85.8,115,2
26,98,107,0
30,100,117.8,0
40,70,102,0
37.5,75.8,102.5,0
25.8,77.3,112.6,0
26,90,111,0
33.6,84.7,98,0
20,85,125,1
18.4,91,132.2,3
27,82,114.2,0
25.3,103,118,0
32.2,90,109,0
17.8,112,141,3
36.1,86.3,115,0
39,77.8,110,0
24,87,123.6,0
28.6,96,119.2,0
21.2,100,118.4,1.2
34,91.3,105,0
32.2,95.3,101.3,0
29.6,95.7,110,0
30.1,79.8,112,0
35.4,85.2,105.8,0
22.2,101,127.7,1.3
33.6,91.4,110,0
24.7,102,118.9,0
37,84.7,105.3,0
36.7,83.3,104.2,0
15,114,144,5
20,108,137.2,3.5
25,103.2,134,0.5
32,88.7,121,0
41,65.4,95,0
19.7,114,141,2.3
24.1,98,132.5,0.5
31.4,82.19,124.7,0
55.2,64,90,0
65,75.2,85,0
42,70,120,0
48.7,65.8,114,0
51.2,67,97,0
35.6,81,132.2,0
23.5,90,139.2,0.6
53.5,75,93.1,0
47.8,74.2,100,0
62,65,89,0
36.9,84,111.3,0
25,91,122.5,0
31,86,116.7,0
46.3,78.2,97.2,0
19.85,98,132,2
45,85,96.9,0
23.9,97.2,128.2,1
51.2,71.2,91.3,0
69.2,68.2,88,0
59,70,87.2,0
33.6,95,113.6,0
41,81,101,0
18.2,85,143,1.7
